nm,W/sm/nm,W/sm
199.5,0.005849248547288473,0.011740170833303518
201.5,0.00707426135576851,0.02170655339081099
203.5,0.008701874881688474,0.0376462718969644
205.5,0.010680382893026794,0.05762715095868945
207.5,0.01511548928374683,0.08481776036290765
209.5,0.022940606022142835,0.12518864985314698
211.5,0.029917547011195256,0.17982956734691513
213.5,0.03345366884244401,0.24465966177424775
215.5,0.03593175135947954,0.31663738171920575
217.5,0.039216532775223675,0.3948136587773766
219.5,0.043249408473839096,0.481200004902326
221.5,0.048359133233935314,0.5772253674711854
223.5,0.054022743404433124,0.6821063543186856
225.5,0.05257641666606831,0.7858084997058091
227.5,0.047691500934662207,0.8829896071020267
229.5,0.047125232222642206,0.9814524593479649
231.5,0.04847281807005459,1.0833114422791164
233.5,0.05009520615227981,1.1842722934202208
235.5,0.05233547131390096,1.2833025600862178
237.5,0.051881106583872544,1.38066197021372
239.5,0.050789529383626325,1.477532402224019
241.5,0.05373811873579653,1.5831145724336206
243.5,0.05692132555989218,1.7003213507597645
245.5,0.056232274161665055,1.8168496522677877
247.5,0.05565394792865228,1.9268625008338758
249.5,0.054733541110074904,2.032950997210354
251.5,0.0547967088120193,2.1397295226239765
253.5,0.06569821533505063,2.2610398754772856
255.5,0.08914191794945207,2.421947857872125
257.5,0.10869178850452497,2.6290958739432604
259.5,0.11500402567256925,2.859601044155997
261.5,0.1332835919029121,3.1177082994818512
263.5,0.1846303158965547,3.46478468167345
265.5,0.24009971352005213,3.9279742953462535
267.5,0.25981973602541564,4.444771983677148
269.5,0.24984297768072575,4.960142944600719
271.5,0.23060959332507025,5.446656451798429
273.5,0.2141391927340514,5.880631230006381
275.5,0.20677605518204037,6.283267899565967
277.5,0.19170562253415868,6.671999028801324
279.5,0.17969950933547846,7.033782883619789
281.5,0.2167315178959463,7.438901187487584
283.5,0.24969228147252534,7.9260563497226695
285.5,0.26612352681903495,8.46741080939353
287.5,0.3462011034143819,9.127572336862098
289.5,0.45790356260788706,9.982040800754259
291.5,0.5342846277832656,11.019050708492621
293.5,0.5523687514698572,12.109748462247351
295.5,0.5416898755906205,13.165196643500819
297.5,0.5208409719192133,14.161726573465925
299.5,0.4984597162777409,15.100854638476793
301.5,0.5129790424060585,16.056005199010666
303.5,0.5654355283010901,17.115542566995526
305.5,0.5959199437247136,18.255792199744157
307.5,0.5943469747795439,19.370502220068047
309.5,0.6049825227605974,20.435703679448437
311.5,0.665795702460575,21.585614679560514
313.5,0.719181937573206,22.88247286029528
315.5,0.7566546376792685,24.260591462106763
317.5,0.7815005077774295,25.675892510001184
319.5,0.7713361773274905,27.13922292811481
321.5,0.7274709368836191,28.61899468267812
323.5,0.695200375249813,30.06890922055316
325.5,0.7737576957046952,31.612015472147874
327.5,0.9260204453998191,33.42024164992838
329.5,0.9916531153093203,35.49136942371893
331.5,0.9696802359323197,37.6866466959859
333.5,0.9438184098835414,39.73720751501196
335.5,0.9320905266449657,41.6010935501089
337.5,0.9181472584157235,43.38729681588963
339.5,0.9245898317171117,45.21348703889236
341.5,0.9460324499291524,47.10651008227741
343.5,0.9606565296748312,48.98628716390348
345.5,0.948435084700063,50.799954576040236
347.5,0.9192898881190367,52.61166903449109
349.5,0.9253303196430847,54.50237591046833
351.5,0.9895951908600812,56.49624322470037
353.5,1.045195015898526,58.5434881504771
355.5,1.0304685903959907,60.56729015392848
357.5,1.0037435115449214,62.480931105871186
359.5,1.0047992556866585,64.33164021736107
361.5,0.9900370965819894,66.26395943374649
363.5,1.0411635073100078,68.36728973001607
365.5,1.160616271361651,70.63884880190291
367.5,1.2422619220975624,73.02033914535207
369.5,1.2640340283793854,75.40349351677287
371.5,1.184985300093901,77.66196915584973
