nm,W/sm/nm,W/sm
199.5,0.005849248547288473,0.011740170833303518
201.5,0.007074261355768509,0.02170655339081099
203.5,0.008701874881688474,0.0376462718969644
205.5,0.010680382893026794,0.05762715095868944
207.5,0.01511548928374683,0.08481776036290764
209.5,0.022940606022142835,0.12518864985314698
211.5,0.029917547011195256,0.17982956734691513
213.5,0.03345366884244401,0.24465966177424778
215.5,0.035931751359479534,0.31663738171920575
217.5,0.03921653277522366,0.3948136587773766
219.5,0.043249408473839096,0.48120000490232595
221.5,0.048359133233935314,0.5772253674711852
223.5,0.05402274340443312,0.6821063543186854
225.5,0.05257641666606832,0.785808499705809
227.5,0.0476915009346622,0.8829896071020267
229.5,0.0471252322226422,0.9814524593479648
231.5,0.04847281807005459,1.0833114422791164
233.5,0.0500952061522798,1.1842722934202208
235.5,0.052335471313900955,1.2833025600862176
237.5,0.051881106583872544,1.38066197021372
239.5,0.050789529383626325,1.4775324022240188
241.5,0.05373811873579652,1.5831145724336206
243.5,0.05692132555989218,1.7003213507597645
245.5,0.056232274161665055,1.8168496522677877
247.5,0.05565394792865228,1.9268625008338756
249.5,0.054733541110074904,2.0329509972103534
251.5,0.0547967088120193,2.139729522623976
253.5,0.06569821533505063,2.2610398754772856
255.5,0.08914191794945207,2.4219478578721247
257.5,0.10869178850452497,2.62909587394326
259.5,0.11500402567256923,2.859601044155997
261.5,0.1332835919029121,3.1177082994818512
263.5,0.1846303158965547,3.46478468167345
265.5,0.2400997135200521,3.927974295346253
267.5,0.25981973602541564,4.444771983677148
269.5,0.24984297768072572,4.960142944600719
271.5,0.23060959332507022,5.446656451798427
273.5,0.2141391927340514,5.880631230006379
275.5,0.20677605518204034,6.283267899565966
277.5,0.19170562253415863,6.671999028801324
279.5,0.17969950933547846,7.0337828836197875
281.5,0.21673151789594627,7.438901187487582
283.5,0.2496922814725253,7.926056349722668
285.5,0.26612352681903495,8.467410809393527
287.5,0.34620110341438187,9.127572336862096
289.5,0.457903562607887,9.982040800754259
291.5,0.5342846277832654,11.019050708492621
293.5,0.5523687514698572,12.10974846224735
295.5,0.5416898755906203,13.165196643500819
297.5,0.5208409719192131,14.161726573465923
299.5,0.49845971627774077,15.10085463847679
301.5,0.5129790424060584,16.056005199010666
303.5,0.565434346844071,17.115542385640225
305.5,0.595880445876618,18.255786088072497
307.5,0.5938566106127181,19.37042537850194
